Tiempo,Valor ADC
16:45_58,1432
16:45_58,1438
16:45_59,1441
16:45_59,1435
16:45_59,1432
16:45_59,1433
16:45_59,1434
16:45_59,1437
16:45_59,1431
16:45_59,1438
16:45_59,1438
16:45_59,1433
16:45_59,1439
16:46_00,1429
16:46_00,1437
16:46_00,1433
16:46_00,1433
16:46_00,1437
16:46_00,1437
16:46_00,1431
16:46_00,1437
16:46_00,1441
16:46_00,1442
16:46_00,1433
16:46_01,1432
16:46_01,1432
16:46_01,1429
16:46_01,1432
16:46_01,1439
16:46_01,1429
16:46_01,1434
16:46_01,1428
16:46_01,1439
16:46_01,1435
16:46_01,1439
16:46_02,1439
16:46_02,1432
16:46_02,1429
16:46_02,1432
16:46_02,1431
16:46_02,1433
16:46_02,1439
16:46_02,1433
16:46_02,1431
16:46_02,1433
16:46_03,1433
16:46_03,1430
16:46_03,1433
16:46_03,1433
16:46_03,1437
16:46_03,1434
16:46_03,1430
16:46_03,1429
16:46_03,1438
16:46_03,1438
16:46_04,1432
16:46_04,1433
16:46_04,1431
16:46_04,1428
16:46_04,1432
16:46_04,1440
16:46_04,1432
16:46_04,1429
16:46_04,1426
16:46_04,1441
16:46_05,1443
16:46_05,1429
16:46_05,1430
16:46_05,1431
16:46_05,1440
16:46_05,1439
16:46_05,1439
16:46_05,1434
16:46_05,1429
16:46_05,1431
16:46_06,1454
16:46_06,1475
16:46_06,1486
16:46_06,1487
16:46_06,1480
16:46_06,1490
16:46_06,1511
16:46_06,1509
16:46_06,1509
16:46_06,1528
16:46_07,1566
16:46_07,1569
16:46_07,1573
16:46_07,1604
16:46_07,1633
16:46_07,1629
16:46_07,1626
16:46_07,1657
16:46_07,1677
16:46_08,1674
16:46_08,1685
16:46_08,1729
16:46_08,1732
16:46_08,1736
16:46_08,1769
16:46_08,1788
16:46_08,1796
16:46_08,1796
16:46_09,1835
16:46_09,1845
16:46_09,1851
16:46_09,1857
16:46_09,1908
16:46_09,1911
16:46_09,1907
16:46_09,1925
16:46_09,1966
16:46_10,1960
16:46_10,1976
16:46_10,2022
16:46_10,2032
16:46_10,2023
16:46_10,2062
16:46_10,2083
16:46_10,2083
16:46_11,2077
16:46_11,2121
16:46_11,2133
16:46_11,2130
16:46_11,2148
16:46_11,2173
16:46_11,2181
16:46_11,2171
16:46_11,2215
16:46_12,2209
16:46_12,2213
16:46_12,2222
16:46_12,2264
16:46_12,2259
16:46_12,2264
16:46_12,2302
16:46_12,2308
16:46_13,2308
16:46_13,2330
16:46_13,2343
16:46_13,2357
16:46_13,2343
16:46_13,2362
16:46_13,2382
16:46_13,2380
16:46_14,2378
16:46_14,2400
16:46_14,2435
16:46_14,2429
16:46_14,2436
16:46_14,2457
16:46_14,2486
16:46_14,2488
16:46_15,2491
16:46_15,2517
16:46_15,2512
16:46_15,2513
16:46_15,2509
16:46_15,2519
16:46_15,2493
16:46_16,2483
16:46_16,2490
16:46_16,2484
16:46_16,2479
16:46_16,2468
16:46_16,2451
16:46_16,2440
16:46_17,2418
16:46_17,2370
16:46_17,2374
16:46_17,2348
16:46_17,2342
16:46_17,2326
16:46_17,2300
16:46_18,2272
16:46_18,2264
16:46_18,2245
16:46_18,2242
16:46_18,2213
16:46_18,2201
16:46_18,2180
16:46_19,2141
16:46_19,2131
16:46_19,2113
16:46_19,2101
16:46_19,2069
16:46_19,2029
16:46_19,2029
16:46_20,1999
16:46_20,1972
16:46_20,1965
16:46_20,1937
16:46_20,1919
16:46_20,1903
16:46_20,1894
16:46_21,1861
16:46_21,1837
16:46_21,1825
16:46_21,1818
16:46_21,1794
16:46_21,1768
16:46_22,1743
16:46_22,1728
16:46_22,1735
16:46_22,1711
16:46_22,1695
16:46_22,1670
16:46_22,1668
16:46_23,1649
16:46_23,1625
16:46_23,1604
16:46_23,1594
16:46_23,1583
16:46_23,1553
16:46_24,1532
16:46_24,1514
16:46_24,1525
16:46_24,1501
